policy_number,inception_date,written_premium,sum_insured,claim_incurred
home13535,2018-10-17,446.1279887177785,163497.03889925565,0.0
home12463,2018-11-23,434.85167597608785,158936.62820035353,0.0
home12624,2017-03-20,423.7046567413836,159608.13139767118,0.0
home200765,2018-04-27,426.9855774739099,161758.7745119413,0.0
home13655,2017-02-02,434.30591801979324,164119.209624156,0.0
home11811,2017-07-19,416.5335511525179,156723.59304750798,0.0
home19890,2018-05-16,1540.0217147058513,599825.6816259364,0.0
home202326,2018-09-12,796.9985848827995,301304.654140525,0.0
home11845,2018-05-19,429.31769115907986,156851.96136974473,0.0
home19481,2018-08-25,889.4711051235066,335286.07260140544,0.0
home18667,2017-01-31,630.1990697011144,246633.2113193485,0.0
home13153,2017-02-08,428.7230043431892,161687.1951065675,0.0
home18894,2018-09-07,689.1214604333007,260537.9756635136,0.0
home10574,2018-05-27,419.10995513433585,152827.30607663371,0.0
home13980,2018-03-02,451.37910683648437,165706.13768411108,0.0
home15150,2017-03-02,455.960968806724,173388.82702666218,0.0
home13567,2018-03-16,446.4255659469352,163672.2249836182,0.0
home10561,2017-06-23,406.8227936585056,152776.56816744164,0.0
home19319,2017-07-01,783.8516703125943,302861.8393310626,0.0
home19937,2018-04-22,1850.5994258765736,741759.4064487667,0.0
home11071,2018-07-23,422.8770393313755,154401.340088339,0.0
home10496,2017-06-17,406.2742053687417,152557.92304745532,0.0
home16491,2017-05-28,486.7849110193977,186240.9185954734,0.0
home11634,2018-01-03,427.5878282122081,156152.81173430028,0.0
home11577,2017-11-05,414.7015550917769,155975.63451017503,0.0
home13994,2018-09-26,451.6725698719096,165761.68961726336,0.0
home200539,2018-04-22,418.612138952141,158191.5523496427,0.0
home12718,2018-04-05,437.20256860414884,159926.23508653068,0.0
home19166,2017-05-28,732.4419615707568,285139.2003502315,0.0
home17122,2018-10-02,525.4242962151311,195382.75927274136,633.0400897508522
home200126,2018-07-02,406.05631211228365,152591.1565447633,0.0
home14278,2018-02-23,455.4992060829008,167431.45176439142,0.0
home13724,2017-12-17,435.0526671045436,164448.71224209282,0.0
home10650,2018-12-21,419.6451933775362,153061.7232081799,0.0
home201184,2018-04-21,446.7640376626112,170509.86361550738,0.0
